,.,90%,95%,99%,90%,95%,99%
1,303.9728932,195.138131,174.2882753,133.538415,412.8076553,433.6575111,474.4073714
2,322.9123815,186.5903426,160.4746532,109.4330198,459.2344203,485.3501097,536.3917432
3,356.0666712,206.3423244,177.6591081,121.5993888,505.7910179,534.4742343,590.5339535
4,348.2558366,191.417117,161.3709754,102.6474961,505.0945561,535.1406977,593.8641771
5,336.3346214,175.5889533,144.7943439,84.60802663,497.0802896,527.874899,588.0612163
6,309.1222343,146.1956859,114.9832776,53.98039624,472.0487827,503.261191,564.2640724
7,303.2052058,139.050872,107.6032526,46.14066432,467.3595396,498.807159,560.2697473
8,290.1343038,125.2855566,93.704906,31.98231584,454.983051,486.5637016,548.2862917
9,268.6963432,103.4538425,71.79775918,9.92774003,433.9388439,465.5949272,527.4649463
10,257.1864441,91.72035289,60.02143555,-1.932300247,422.6525352,454.3514526,516.3051884
11,248.9351957,83.3420373,51.61877725,-10.38253499,414.5283541,446.2516141,508.2529264
12,191.0085495,25.34314532,-6.393955112,-68.42231759,356.6739537,388.4110541,450.4394166
13,193.1274395,27.42094831,-4.324023298,-66.36776954,358.8339306,390.5789022,452.6226485
14,198.1516849,32.42182361,0.672374917,-61.38012154,363.8815461,395.6309948,457.6834913
15,243.4413119,77.69815672,45.94616126,-16.1113127,409.184467,440.9364625,502.9939364
16,269.6214382,97.52211296,64.55244379,0.115095634,441.7207634,474.6904326,539.1277807
17,285.8940671,110.2813193,76.63857152,10.88572933,461.506815,495.1495628,560.902405
18,306.4416351,128.8611002,94.84137648,28.35175636,484.0221701,518.0418938,584.5315139
19,304.3808054,125.6904554,91.45812055,24.55296399,483.0711554,517.3034903,584.2086468
20,297.5268426,118.2081776,83.85547433,16.71506439,476.8455076,511.1982109,578.3386208
21,283.0151541,103.3400177,68.91902387,1.64514405,462.6902906,497.1112844,564.3851642
22,281.5725983,101.6949784,67.2351941,-0.114499481,461.4502181,495.9100024,563.259696
23,273.2553064,93.26259414,58.78076123,-8.612025171,453.2480186,487.7298515,555.1226379
24,261.5071704,81.44901428,46.95464406,-20.46264581,441.5653265,476.0596968,543.4769866
25,254.0814342,73.98605727,39.48455653,-27.94666954,434.1768111,468.6783119,536.1095379
26,248.5817411,68.46519247,33.9596358,-33.47951737,428.6982897,463.2038464,530.6429995
27,213.1411863,33.01259411,-1.495269796,-68.93893231,393.2697785,427.7776424,495.221305
28,217.0202006,36.88475712,2.375580683,-65.0706471,397.1556442,431.6648206,499.1110484
29,219.6591679,39.51982679,5.009903669,-62.43778346,399.7985091,434.3084322,501.7561194
30,251.8571994,71.71564087,37.20529296,-30.24322439,431.9987579,466.5091058,533.9576231
31,267.1423039,84.23094556,49.18997742,-19.29560706,450.0536622,485.0946303,553.5802148
32,276.0290742,91.56051977,56.22123415,-12.84739496,460.4976285,495.8369142,564.9055433
33,288.3244044,102.9757905,67.46790883,-1.930231738,473.6730183,509.1809,578.5790406
34,286.5685703,100.7211452,65.11770451,-4.467200694,472.4159953,508.019436,577.6043412
35,282.365034,96.23442895,60.57673847,-9.114194866,468.4956391,504.1533296,573.8442629
36,273.2380236,86.94650785,51.25799115,-18.49319028,459.5295393,495.218056,564.9692374
37,271.9572816,85.57428485,49.86824282,-19.91719089,458.3402783,494.0463204,563.8317541
38,267.0193275,80.58430676,44.86829829,-24.93661424,453.4543483,489.1703568,558.9752693
39,259.699557,73.23494595,37.51326876,-32.30272296,446.1641681,481.8858453,551.7018371
40,255.3096657,68.82822263,33.10332087,-36.71897308,441.7911088,477.5160106,547.3383045
