,,90%,90%,95%,95%,99%,99%
1,243.4513484,142.0742756,344.8284211,122.2933834,364.6093134,83.96790466,402.9347921
2,309.4333027,210.1990651,408.6675403,190.8362871,428.0303184,153.3209046,465.5457009
3,311.3870339,214.655676,408.1183918,195.7812647,426.9928031,159.2120928,463.561975
4,269.5454339,175.7633608,363.327507,157.4644197,381.6264481,122.0102213,417.0806465
5,240.8461762,149.924158,331.7681943,132.1832764,349.5090759,97.81031836,383.882034
6,203.7668211,115.627013,291.9066293,98.4290016,309.1046407,65.10785461,342.4257876
7,192.6040155,107.0317672,278.1762638,90.33474314,294.8732879,57.98425902,327.223772
8,168.8150562,83.77269972,253.8574127,67.17906918,270.4510432,35.02891002,302.6012024
9,178.7576916,96.31515651,261.2002267,80.2288082,277.286575,49.06150834,308.4538749
10,167.7691568,87.61993697,247.9183766,71.98106481,263.5572487,41.68075001,293.8575635
11,163.2403782,85.54931762,240.9314387,70.3900863,256.09067,41.01907561,285.4616807
12,99.90039384,24.52330982,175.2774779,9.81558611,189.9852016,-18.68062858,218.4814163
13,89.52734065,16.31936674,162.7353146,2.034884025,177.0197973,-25.64130123,204.6959825
14,81.87871805,10.61936978,153.1380663,-3.284893291,167.0423294,-30.224403,193.9818391
15,135.9059967,48.70921166,223.1027818,31.69520482,240.1167886,-1.269433435,273.0814269
16,262.4051962,177.5008576,347.3095348,160.9341574,363.8762351,128.8361757,395.9742167
17,258.4611666,176.4408298,340.4815035,160.4368617,356.4854716,129.4291734,387.4931599
18,232.5653287,152.54414,312.5865173,136.9302496,328.2004078,106.6783368,358.4523205
19,187.9431165,103.877217,272.0090159,87.47411461,288.4121183,55.69310383,320.1931291
20,213.4956157,132.362537,294.6286943,116.5316924,310.4595389,85.85943098,341.1318004
21,190.8038384,112.2214124,269.3862643,96.88825616,284.7194205,67.18026588,314.4274108
22,175.2895498,99.05593818,251.5231614,84.18108713,266.3980124,55.36106323,295.2180363
23,182.5579113,106.095877,259.0199456,91.17645571,273.9393669,62.27007689,302.8457458
24,187.4144227,112.5970171,262.2318282,97.99849897,276.8303464,69.71387004,305.1149753
25,150.0578021,75.51124032,224.6043639,60.96556972,239.1500345,32.78333295,267.3322712
26,154.7050221,81.41759656,227.9924477,67.11761109,242.2924332,39.41138923,269.998655
27,121.6826023,49.43048733,193.9347172,35.33251368,208.0326909,8.01768974,235.3475148
28,83.84955306,13.93966669,153.7594394,0.298713251,167.4003929,-26.13063403,193.8297401
29,77.9720298,10.09198982,145.8520698,-3.152896033,159.0969556,-28.81486237,184.758922
30,166.9545127,86.67300178,247.2360237,71.00831671,262.9007087,40.6579894,293.251036
