,,90%,90%,95%,95%,99%,99%,predict
1,601,-19232.31785,19717.83269,-22961.58759,23447.10242,-30242.54278,30728.05761,242.7574166
2,602,-4740.755146,5381.529232,-5709.910033,6350.684119,-7602.069574,8242.843661,320.3870431
3,603,-4715.878314,5388.025295,-5683.273341,6355.420322,-7571.996964,8244.143945,336.0734906
4,604,-4728.731134,5354.3936,-5694.136693,6319.799159,-7578.976119,8204.638585,312.8312331
5,605,-4735.766099,5323.674224,-5698.904003,6286.812128,-7579.3161,8167.224225,293.9540626
6,606,-4771.095121,5261.095622,-5731.624022,6221.624523,-7606.942352,8096.942854,245.0002509
7,607,-4796.148368,5204.353828,-5753.643259,6161.848719,-7623.038046,8031.243506,204.1027302
8,608,-4802.353094,5160.838725,-5756.275714,6114.761345,-7618.696069,7977.1817,179.2428155
9,609,-4762.917573,5155.699814,-5712.572429,6105.35467,-7566.660482,7959.442723,196.3911203
10,610,-4750.934801,5113.495019,-5695.401486,6057.961704,-7539.360251,7901.92047,181.2801092
11,611,-4702.967805,5094.178376,-5640.992439,6032.20301,-7472.373868,7863.584439,195.6052856
12,612,-4661.228948,5050.141234,-5591.040987,5979.953273,-7406.388301,7795.300586,194.4561427
13,613,-4770.327069,4827.938666,-5689.309958,5746.921556,-7483.514648,7541.126245,28.80579866
14,614,-4681.003348,4761.283623,-5585.052101,5665.332375,-7350.099665,7430.379939,40.1401371
15,615,-4530.00546,4683.276788,-5412.128229,5565.399556,-7134.367919,7287.639247,76.6356637
16,616,-147.2123086,531.5251507,-212.19781,596.5106521,-339.0742652,723.3871073,192.156421
17,617,182.4896555,464.8978633,155.4505718,491.936947,102.6599797,544.727539,323.6937594
18,618,165.9265238,447.3911916,138.9777791,474.3399364,86.36356305,526.9541524,306.6588577
19,619,136.7549938,418.1696794,109.8110345,445.1136386,57.20616165,497.7185115,277.4623366
20,620,85.26163938,366.5417761,58.33056247,393.472853,5.750840866,446.0525746,225.9017077
21,621,104.0312141,385.1479915,77.11577797,412.0634277,24.56659314,464.6126125,244.5896028
22,622,63.42937993,344.3607672,36.53169391,371.2584532,-15.98283593,423.772983,203.8950736
23,623,42.2122411,322.9342537,15.33460159,349.8118932,-37.14078981,402.2872846,182.5732474
24,624,67.23776769,347.7228497,40.38281304,374.5778043,-12.04828891,427.0089063,207.4803087
25,625,58.03839708,338.2545761,31.20918845,365.0837847,-21.17164744,417.4646206,198.1464866
26,626,33.89019222,313.8001591,7.090301774,340.6000496,-45.23329386,392.9236452,173.8451757
27,627,55.7394177,335.2993692,28.97303937,362.0657475,-23.28512785,414.3239147,195.5193934
