"","x"
"1",80.268578
"2",109.164874
"3",141.99705
"4",160.132258
"5",185.699644
"6",148.449782
"7",181.651418
"8",244.226632
"9",165.187074
"10",180.457082
"11",192.04757
"12",102.97755
"13",73.472776
"14",53.36812
"15",43.888078
"16",328.753048
"17",270.83303
"18",323.603982
"19",294.884122
"20",297.729718
"21",260.438386
"22",223.04828
"23",163.703202
"24",204.090458
"25",296.765352
"26",247.73801
"27",74.590204
"28",32.490614
"29",63.059282
"30",36.025366
"31",-14.517516
"32",73.763066
"33",86.673054
"34",77.882922
"35",102.59301
"36",110.024434
"37",35.174854
"38",70.583448
"39",23.266932
"40",-19.959134
"41",-32.649708
"42",-5.73869399999999
"43",46.577596
"44",35.043658
"45",127.573784
"46",43.750096
"47",34.859682
"48",-11.976536
"49",-0.424501999999991
"50",-22.08089
"51",-35.624238
"52",-23.39285
"53",-35.620468
"54",-37.258156
"55",-69.005326
"56",-40.664728
"57",-17.6813
"58",-24.148358
"59",-30.049916
"60",-33.22124
"61",-45.28901
"62",-58.772792
"63",-61.072492
"64",-74.183798
"65",-67.782338
"66",-55.550196
"67",-44.940662
"68",-41.549924
"69",-23.947794
"70",-22.29201
"71",-24.014146
"72",-6.65405
"73",-5.553964
"74",-7.512102
"75",64.168416
"76",97.406244
"77",73.837712
"78",70.202678
"79",90.933908
"80",110.334328
"81",96.848284
"82",75.352498
"83",101.990564
"84",91.466986
"85",87.428562
"86",84.521138
"87",62.102456
"88",45.776094
"89",59.072884
"90",152.21375
"91",180.520418
"92",144.536522
"93",185.988426
"94",181.734358
"95",164.319974
"96",142.970464
"97",140.062286
"98",160.352426
"99",180.11552
"100",263.165604
"101",268.309392
"102",88.912434
"103",55.195816
"104",68.326726
"105",109.219162
"106",135.775042
"107",141.42778
"108",159.714542
"109",133.580902
"110",134.756388
"111",168.148032
"112",172.842436
"113",191.093006
"114",189.169552
"115",178.078966
"116",264.61253
"117",193.984596
"118",130.813722
"119",91.4602
"120",36.195016
"121",70.801354
"122",118.35161
"123",240.984432
"124",258.225396
"125",209.154322
"126",166.72071
"127",144.208532
"128",150.805278
"129",81.592602
"130",69.804566
"131",-10.709816
"132",-8.438014
"133",2.52213
"134",53.178112
"135",19.564038
"136",68.028896
"137",105.421264
"138",96.046028
"139",107.325114
"140",162.105476
"141",126.316112
"142",180.267828
"143",89.50734
"144",55.838978
"145",55.919656
"146",16.91222
"147",30.301752
"148",72.016048
"149",33.54169
"150",171.118792
"151",170.164982
"152",83.375812
"153",92.472822
"154",33.018414
"155",52.831272
"156",41.155582
"157",-11.2346
"158",51.50574
"159",37.64345
"160",44.219838
"161",22.512178
"162",2.697812
"163",-5.092516
"164",10.610288
"165",93.397226
"166",97.545734
"167",81.658954
"168",36.80651
"169",85.30756
"170",61.611602
"171",52.765674
"172",53.472926
"173",109.523024
"174",148.639036
"175",237.891524
"176",326.307826
"177",70.38213
"178",13.82082
"179",24.075974
"180",109.86157
"181",103.514398
"182",104.893464
"183",79.62994
"184",82.667806
"185",73.792472
"186",91.58461
"187",63.040432
"188",59.639138
"189",41.697708
"190",-5.31871599999998
"191",1.57359800000001
"192",41.558218
"193",27.496872
"194",51.87143
"195",131.24878
"196",105.800526
"197",94.904472
"198",103.366614
"199",112.555612
"200",105.926444
"201",78.557752
"202",91.86359
"203",168.49261
"204",93.765178
"205",96.574582
"206",46.006064
"207",46.372508
"208",49.846186
"209",64.036466
"210",90.627784
"211",162.526208
"212",117.94445
"213",136.167876
"214",130.205998
"215",134.395976
"216",169.990808
"217",220.00212
"218",136.821594
"219",215.811388
"220",275.683512
"221",244.746892
"222",172.09296
"223",146.870152
"224",121.349514
"225",3.362086
"226",71.242444
"227",143.189878
"228",250.125928
"229",212.231396
"230",333.295144
"231",205.79299
"232",165.9931
"233",165.31827
"234",171.783066
"235",136.987474
"236",119.695238
"237",15.009878
"238",-15.96218
"239",26.610168
"240",12.778792
"241",25.864462
"242",72.332728
"243",74.745528
"244",136.637618
"245",33.561294
"246",90.544844
"247",53.655394
"248",80.10496
"249",40.936168
"250",-12.321868
"251",1.10988800000001
"252",23.120656
"253",35.929608
"254",14.077934
"255",106.136056
"256",102.120252
"257",91.463216
"258",67.11354
"259",97.695026
"260",48.130082
"261",77.787164
"262",76.699896
"263",83.311722
"264",32.70852
"265",50.71027
"266",57.872516
"267",19.51729
"268",22.223396
"269",17.630028
"270",117.976118
"271",102.218272
"272",85.38673
"273",97.761378
"274",19.059612
"275",47.710858
"276",40.024582
"277",25.216776
"278",67.970084
"279",87.703772
"280",205.466508
"281",168.553684
"282",33.303426
"283",16.602326
"284",28.03372
"285",104.189982
"286",108.102488
"287",85.73357
"288",56.093076
"289",118.31014
"290",86.456656
"291",42.846804
"292",75.52441
"293",75.80716
"294",43.989114
"295",15.372552
"296",41.423252
"297",43.776486
"298",37.494158
"299",42.775928
"300",88.732982
"301",86.838934
"302",101.810358
"303",78.679146
"304",76.938914
"305",117.35633
"306",83.397678
"307",109.800496
"308",121.033588
"309",158.199756
"310",185.27288
"311",250.905564
"312",111.822724
"313",74.78549
"314",63.89773
"315",127.728354
"316",135.551104
"317",98.574944
"318",185.00898
"319",107.562624
"320",118.782144
"321",207.604098
"322",192.711844
"323",121.183634
"324",93.452268
"325",181.644632
"326",277.115358
"327",176.42469
"328",139.860968
"329",62.120552
"330",-56.985812
"331",33.727174
