,0
0,80.268578
1,73.2611311406
2,125.28887552
3,150.263537742
4,174.554461681
5,154.242307563
6,164.604472907
7,198.529830723
8,174.230452947
9,169.328044737
10,173.233692184
11,137.774490178
12,106.941636027
13,81.0991651417
14,62.1706189466
15,112.687791787
16,139.379319451
17,168.240002237
18,184.104082807
19,196.584903563
20,197.730176891
21,190.204445434
22,171.375421216
23,167.246548486
24,184.355967419
25,185.902055961
26,150.606997205
27,117.690782014
28,98.8681509566
29,79.6988768049
30,56.0473254533
31,55.679063685
32,58.189181189
33,58.2794373643
34,63.6023557458
35,69.058977817
36,57.1899883499
37,56.0864789989
38,45.3141706581
39,28.6551912906
40,14.0131532832
41,8.89670286925
42,16.3506398303
43,19.2741499109
44,41.0995617705
45,38.8513934405
46,35.3304389119
47,22.8081945139
48,16.2625385721
49,6.9263032562
50,-2.67775244265
51,-6.97899896557
52,-12.7341038048
53,-17.2346571587
54,-27.3624639351
55,-28.4399481438
56,-24.1084902435
57,-22.4859600072
58,-22.6738361323
59,-23.5328359637
60,-26.8831833312
61,-32.3126870329
62,-36.6876576049
63,-42.7729458807
64,-45.6373148965
65,-44.8678333453
66,-41.8800224115
67,-39.0022982714
68,-32.8588209266
69,-28.1752106195
70,-25.3135488225
71,-19.2087891896
72,-14.6915316703
73,-12.0091030165
74,6.73441903359
75,27.3907375229
76,36.3842848345
77,41.842751119
78,50.4764882943
79,60.9782629873
80,65.2150914501
81,63.1998965417
82,67.963955145
83,68.8625398839
84,68.5556827073
85,67.6656700961
86,61.8382461038
87,53.9702057791
88,51.5328557988
89,70.9974671697
90,90.7501722921
91,96.7326340294
92,110.14085049
93,118.678194392
94,120.884419966
95,117.685418392
96,114.78377448
97,117.301202077
98,123.476552102
99,145.504304955
100,161.943704821
101,135.552543271
102,109.725884999
103,93.821707458
104,90.2289206261
105,92.5140631761
106,95.1179758883
107,100.378417558
108,99.2080652076
109,98.4020268386
110,103.493561607
111,108.105287046
112,114.684711085
113,119.279577098
114,120.807365324
115,139.357890738
116,139.925602586
117,128.324213718
118,112.129573507
119,89.8897080234
120,79.99155033
121,81.0206889728
122,101.25211463
123,118.206984548
124,124.184465439
125,121.908199583
126,116.674602823
127,113.989633501
128,100.272175959
129,87.8727268044
130,65.1148427849
131,48.5012812198
132,37.6048449715
133,37.3445182053
134,31.7544441006
135,35.2716943912
136,43.9885972995
137,49.1221394491
138,54.9000160867
139,68.1164438424
140,72.6211226791
141,84.4277672021
142,79.0332832404
143,69.564712269
144,62.2791201251
145,50.5482976993
146,43.6473629017
147,44.9658353614
148,39.8474576657
149,57.2730924675
150,70.3933155209
151,67.1990399039
152,66.1559598519
153,56.1843057774
154,51.5195228504
155,46.1261266814
156,34.2123130334
157,34.2198614483
158,32.1766890423
159,31.5514108119
160,27.8758587263
161,22.1272176068
162,16.5432369613
163,14.4509431467
164,24.6347359073
165,33.0106454875
166,37.246894514
167,34.3774043347
168,38.6053401636
169,38.7343342766
170,37.6436266123
171,36.8471948496
172,43.4091003344
173,53.3883600037
174,71.0342586317
175,92.2333467997
176,82.716036767
177,69.0108727737
178,58.8906545403
179,59.7395598516
180,59.7943249192
181,60.020528386
182,57.4782037615
183,55.7478914852
184,53.3794889625
185,53.4054046103
186,50.3114460701
187,47.4316885101
188,43.1157589517
189,34.4652532946
190,28.1743660678
191,27.4471843237
192,25.3192729699
193,26.2544927458
194,35.4444374767
195,40.1202134383
196,42.74007659
197,45.7321321089
198,49.1016626302
199,51.3125791353
200,50.1930190503
201,50.5843569932
202,58.5245703121
203,57.4295224911
204,56.7171720751
205,51.2152475976
206,46.7090798477
207,43.3082574433
208,41.8085197564
209,43.010637994
210,50.4238527283
211,52.5116432452
212,55.8367320299
213,57.9921805827
214,60.0390402435
215,64.9237774417
216,72.3742630905
217,71.6756271286
218,76.8670861378
219,85.0112016172
220,89.2292817775
221,87.7139777592
222,84.8471210148
223,80.6425912557
224,68.7780918228
225,63.3338100117
226,63.2541003634
227,69.0625992972
228,71.5349233008
229,78.9495212651
230,79.0438084622
231,77.1159384339
232,75.3959528831
233,74.1236946104
234,71.2067648413
235,67.753369436
236,59.548908138
237,51.0457436661
238,45.6620492267
239,40.3413053183
240,36.3202716525
241,34.9423357199
242,33.8294032194
243,35.6142450109
244,32.5520985533
245,32.4438702173
246,30.6901346249
247,30.3288859875
248,28.2699185596
249,24.1181343623
250,21.1005308569
251,19.4236316923
252,18.4963477608
253,16.7633679019
254,19.1083412626
255,20.9851007449
256,22.2345682201
257,22.269734762
258,23.5732548364
259,22.626494974
260,23.043511565
261,23.3806565671
262,23.9700961824
263,22.333654461
264,21.6487443752
265,21.3374730212
266,19.4764537636
267,17.9577920458
268,16.4403777052
269,19.1697588029
270,20.9299806129
271,21.7991495184
272,23.0670940011
273,20.9721017069
274,20.3547333748
275,19.5771421651
276,18.1921580824
277,18.8403982945
278,20.2052951759
279,25.7413563021
280,28.8722266382
281,26.6024609234
282,24.0096721856
283,22.1259384641
284,23.0878665965
285,24.0472803254
286,24.1285541414
287,23.1877848259
288,24.494721352
289,24.6122478755
290,23.1886617295
291,23.0904534371
292,23.0175110965
293,21.8178589662
294,19.7542889001
295,18.8429174554
296,18.1166981579
297,17.2562032465
298,16.6775497052
299,17.7405917029
300,18.610764447
301,19.8811365338
302,20.2369642838
303,20.4731989287
304,22.0242659027
305,22.253188637
306,23.3562429362
307,24.7035559332
308,27.0724325226
309,29.8986966646
310,34.0710992589
311,33.5313743191
312,31.930780808
313,30.1781853778
314,30.4932973374
315,30.9784961327
316,30.3522931433
317,32.1119061409
318,31.4935878518
319,31.3176470858
320,33.3895805773
321,34.4475357002
322,33.5013254137
323,31.9402852053
324,32.3698114213
325,34.1255773177
326,33.6985748523
327,32.6802958048
328,30.3781654394
329,26.2750927702
330,24.1357518253
331,22.8137820845
332,21.9459422643
333,21.8171801968
334,21.5366465869
335,20.8565656478
336,19.3830200269
337,18.0567089166
338,16.6988005799
339,15.4443235271
340,14.1771849121
341,12.7901037268
342,11.2314023401
343,10.4144845083
344,9.68572592345
345,9.14670739673
346,9.05540599062
347,8.84933328927
348,9.15691557704
349,9.15107537376
350,9.27550326937
351,9.01380594182
352,9.15822683494
353,9.01418738307
354,8.49135070077
