,0
0,4161.85259231
1,4083.91592325
2,4681.14166422
3,6757.6298163
4,5377.04571056
5,6402.67759947
6,8860.99264092
7,7417.33639134
8,6994.58505902
9,6617.38680696
10,5721.56038651
11,4315.69994098
12,3221.00862505
13,2380.57596064
14,3422.64879722
15,3373.8907714
16,3590.19925044
17,3580.33983321
18,3654.84033063
19,3609.70166282
20,3544.33853986
21,3451.60304534
22,3610.16539696
23,4348.4383977
24,4238.08797714
25,4688.69819355
26,4557.54638184
27,4474.40572493
28,4319.68534924
29,4254.91437
30,4503.65016404
31,4382.84563532
32,4216.04179209
33,4162.45869485
34,4056.06857293
35,4031.24910224
36,3984.92590582
37,3870.66237753
38,3794.74186514
39,3646.70601625
40,3507.43328646
41,3528.92850543
42,3367.93703907
43,3934.06579117
44,3947.27513038
45,3765.14264182
46,3695.26314439
47,3528.91446475
48,3398.72266865
49,3266.21526338
50,3114.71749021
51,2992.61156073
52,2860.61769239
53,2847.69650356
54,2723.77700622
55,2608.61462289
56,2495.17491389
57,2388.78079623
58,2285.36851145
59,2208.2996833
60,2148.99877521
61,2069.12984651
62,2029.69325695
63,1945.47440883
64,1856.70220088
65,1771.44336749
66,1693.77797871
67,1619.51270476
68,1546.19742058
69,1478.78374166
70,1420.17318851
71,1355.11038104
72,1293.90227711
73,1577.26035608
74,1673.54170816
75,1597.24622049
76,1539.43337788
77,1570.25678413
78,1620.46126119
79,1560.04942895
80,1490.02454799
81,1564.0569001
82,1508.23715412
83,1463.99198683
84,1422.14433082
85,1358.6814956
86,1298.07982266
87,1281.42353859
88,2007.35265217
89,2209.60339207
90,2116.84046287
91,2422.12861761
92,2431.02308039
93,2374.24466844
94,2294.56725091
95,2263.75441465
96,2364.96155618
97,2495.46029939
98,3447.40057334
99,3617.55509964
100,4295.21384442
101,4120.87606193
102,3991.76999613
103,4037.40928457
104,4050.21794768
105,3976.40524038
106,3989.54858801
107,3830.77279454
108,3742.74655618
109,3870.1359903
110,3842.53552596
111,3918.02799215
112,3882.68131626
113,3798.69625399
114,4717.32938554
115,4521.09978154
116,4347.24960784
117,4168.85559187
118,4062.68980428
119,4012.84608285
120,4112.81487459
121,5352.29204253
122,5492.46060729
123,5281.74871291
124,5071.9427363
125,4886.54195482
126,4796.31604365
127,4664.0450462
128,4477.72969699
129,4542.64536104
130,4356.52882088
131,4183.05920068
132,4174.5453148
133,4029.35860854
134,4040.14957982
135,4056.07758567
136,3906.27825736
137,3821.44256075
138,4074.05402102
139,3907.3256172
140,4195.82154991
141,4156.90779566
142,3994.48066302
143,3842.31349176
144,3724.14371193
145,3590.35924615
146,3593.05801865
147,3472.1569722
148,4611.61670624
149,4527.92805457
150,4468.1532472
151,4341.72216538
152,4248.79429684
153,4125.14757332
154,3959.23164397
155,3908.21825774
156,3969.24256196
157,3809.01006903
158,3670.54813821
159,3529.50540755
160,3399.39543174
161,3265.18890475
162,3146.00403706
163,3462.8148112
164,3367.41601626
165,3235.39912684
166,3142.07003377
167,3216.96792375
168,3087.24453297
169,2964.91519943
170,2856.52164273
171,3032.96504909
172,3176.1272541
173,3998.85414271
174,5099.67393243
175,6601.07808634
176,6439.38461856
177,6209.53953114
178,6445.20615682
179,6226.68767306
180,6032.48448811
181,5804.57348199
182,5613.58213164
183,5407.80776867
184,5275.26323751
185,5075.92874687
186,4890.17761496
187,4703.42770633
188,4600.35549343
189,4425.15548436
190,4348.54058623
191,4181.5019245
192,4075.94636617
193,4409.26098264
194,4240.987032
195,4089.98928028
196,3990.10962068
197,3904.81463193
198,3778.83013869
199,3631.96932301
200,3552.95548162
201,3977.21247186
202,3889.37528182
203,3781.70002486
204,3681.97695606
205,3556.1327047
206,3440.65255649
207,3355.77313623
208,3330.42748908
209,3654.87183982
210,3534.23525991
211,3524.12962686
212,3445.7429156
213,3396.1993426
214,3697.65484895
215,4359.23509402
216,4162.62780153
217,5148.84425646
218,6023.14938757
219,5806.82372078
220,5506.9904986
221,5243.35460654
222,4985.79508046
223,5364.01409506
224,5466.93947979
225,5822.96931851
226,7011.51979454
227,6729.06570236
228,8272.86737491
229,8067.50716911
230,7756.00787527
231,7546.8015287
232,7382.31246684
233,7100.33702717
234,6843.4219914
235,6904.52707253
236,6684.55756139
237,6515.96254986
238,6274.10065658
239,6054.02024827
240,5982.76423818
241,5782.90066713
242,5922.94623042
243,5969.46579062
244,5982.50212199
245,5772.06135367
246,5644.620429
247,5456.88249518
248,5357.58238999
249,5166.53537956
250,5003.98805324
251,4839.39250139
252,4671.82525877
253,4990.98497138
254,4836.37133237
255,4672.72124398
256,4504.28692566
257,4459.81710497
258,4333.72316002
259,4269.09171272
260,4132.76761086
261,4018.60119072
262,3922.24268727
263,3817.32970944
264,3700.76323041
265,3598.79512023
266,3472.83076782
267,3348.54541727
268,3799.92815217
269,3674.62063176
270,3548.23751613
271,3480.61934289
272,3512.81970847
273,3446.15470725
274,3324.76252084
275,3208.13601546
276,3219.34696427
277,3174.44610207
278,4026.7011678
279,3898.96698436
280,4201.1862659
281,4062.09153123
282,3935.85637803
283,4143.90571189
284,4046.06575137
285,3908.92956864
286,3779.06705507
287,3938.00414993
288,3801.57913423
289,3694.79440414
290,3661.40540719
291,3551.83774606
292,3436.82608237
293,3333.16039993
294,3262.38134213
295,3156.65826707
296,3047.62618777
297,2952.09066855
298,3015.17565025
299,2927.82332529
300,2892.19835863
301,2787.04523962
302,2702.45065656
303,2792.89107731
304,2693.41721115
305,2713.35900504
306,2693.32901491
307,2833.58548066
308,2961.67708808
309,3495.37640759
310,3680.45590943
311,3556.27793595
312,3434.83273117
313,3638.33852931
314,3589.08426254
315,3460.72663681
316,3974.52766987
317,3887.05138751
318,3823.48489049
319,4394.89237173
320,4309.22004121
321,4182.14802306
322,4028.92804972
323,4540.40631122
324,5371.31372307
325,5239.7111482
326,5062.22164368
327,4982.60475878
328,5347.96084542
329,5457.6626487
330,5399.30901203
331,5330.21905654
332,5559.55875349
333,5475.06054213
334,5300.8025389
335,5258.03219594
336,5092.78651524
337,4920.57279822
338,4757.38378911
339,4598.03005469
340,4477.66074218
341,4449.43248748
342,4601.01385705
343,4451.03182829
344,4343.12650015
345,4514.09073055
346,4367.65672325
347,4863.28709863
348,4692.87473299
349,4701.93874715
350,4566.31353132
351,4847.08945665
352,4681.85325633
353,4591.09513561
354,4592.11305224
355,4503.11107669
356,4372.22425462
357,4225.25225796
358,4596.41876802
359,4508.51715352
360,4484.72071627
361,4387.82995275
362,4283.38876007
363,4148.03145737
364,4023.32246202
365,4029.31905413
366,3900.62063941
367,3788.78968159
368,3661.77086895
369,3549.64660107
370,3432.97068483
371,3319.69231918
372,3229.51508767
373,3524.20385696
374,3447.90600991
375,3318.78337218
376,3300.02610083
377,3243.15250688
378,3437.34064625
379,3298.44833379
380,3190.05588399
381,3137.37155507
382,3252.3708684
383,3326.2902086
384,4698.16557203
385,5131.78559522
386,5089.69552426
387,4924.39471022
388,5347.43524649
389,5475.96305939
390,5315.46991213
391,5168.05963196
392,5004.36590075
393,4871.6852006
394,4714.29288925
395,4561.94655063
396,4421.83507615
397,4297.49210889
398,4174.0446144
399,4113.5634286
400,4106.53493286
401,4021.74338082
402,3890.45431751
403,4124.2372251
404,4082.56298448
405,4816.67044052
406,4748.83697366
407,4695.67731506
408,4552.55081779
409,4472.42353026
410,4341.1208185
411,4554.50137544
412,4411.09670336
413,4276.83232196
414,4389.03576288
415,4310.63283892
416,4190.93153154
417,4057.59262907
418,4331.34343768
419,4739.87329262
420,4723.33007077
421,4901.0466349
422,5145.83936952
423,4983.69601316
424,4855.7164676
425,4732.33674921
426,4884.33047219
427,5191.33675983
428,5553.08837246
429,5394.76242585
430,5568.71876428
431,5509.83168833
432,5380.17692174
433,5540.7398269
434,5525.31848761
435,5624.86972531
436,5611.2387812
437,5478.00281826
438,5321.3068254
439,5318.17611901
440,5151.57014962
441,4990.9832533
442,4834.48159368
443,4683.09628181
444,4686.60780504
445,5015.36571194
446,4894.34808777
447,4780.21431755
448,4640.27525351
449,4501.59489469
450,4396.37031016
451,4580.09753884
452,4451.75144481
453,4506.58986887
454,4372.6336588
455,4353.98477129
456,4262.38182266
457,4181.99233056
458,4167.36764856
459,4048.71159752
460,3935.91404474
461,3821.3656728
462,3710.50795383
463,4474.86813963
464,4439.39394411
465,4386.19482067
466,4270.38095614
467,4159.78801122
468,4237.66659869
469,4123.45921107
470,4148.94964475
471,4115.13902371
472,4382.85050198
473,4395.17800971
474,5274.31132128
475,5570.68892728
476,5539.94613735
477,5470.73625501
478,5483.99482635
479,5348.76060668
480,5239.18021327
481,5108.88767689
482,5032.85795634
483,4905.55238264
484,4791.02358008
485,4680.18888978
486,4768.30966022
487,4720.58576606
488,4616.31153841
489,4498.8351799
490,4384.93174979
491,4342.09410917
492,4232.10900507
493,4148.71534639
494,4062.44547936
495,3968.39886451
496,3888.45796662
497,3807.9133369
498,3712.650759
499,3629.56792704
500,3551.47481168
501,3519.9428215
502,3714.16651946
503,4510.2463044
504,4406.6253669
505,4766.27079201
506,4658.15457337
507,4571.11675405
508,4865.89002888
509,4822.36083966
510,4751.5268526
511,4657.32531496
512,4795.45255358
513,4685.80695262
514,4594.21960686
515,4502.55438936
516,4439.88166862
517,4354.98254794
518,4315.53613143
519,4243.74054729
520,4270.07961534
521,4168.10357438
522,4157.6301278
523,4124.77971838
524,4117.29331184
525,4044.14692585
526,3980.42810556
527,3970.08116422
528,3883.74213118
529,3897.38756992
530,3802.98200672
531,3770.70805905
532,4057.50818696
533,3988.26169685
534,4020.61081832
535,3922.64487553
536,3915.15373103
537,3821.39185925
538,3948.80108083
539,4412.65100157
540,4431.51001161
541,5187.62523019
542,5097.26348759
543,5213.76640074
544,5102.70632148
545,5013.27251299
546,4921.04897336
547,4867.69522801
548,4829.20436544
549,4727.27829572
550,4663.99615419
551,4609.23508571
552,4522.09897365
553,4423.04982828
554,4327.41103083
555,4309.22849357
556,4217.58210723
557,4145.98407791
558,4055.40251988
559,3977.14418738
560,3939.87111248
561,3852.97570171
562,3773.37213171
563,3692.18901072
564,3611.41696738
565,3536.96798299
566,3513.81273026
567,3439.3650893
568,3724.71856889
569,3730.2043356
570,3670.98291381
571,3602.24253732
572,3523.91252809
573,3447.10643278
574,3371.81044776
575,3300.52887112
576,3265.62557011
577,3195.34184944
578,3129.67013244
579,3061.55129614
580,2995.94320562
581,2932.93493112
582,2873.61356421
583,3108.73878287
584,3054.41322783
585,2982.79616711
586,2925.37156884
587,2971.8775049
588,2902.44043405
589,2836.67709131
590,2774.30355552
591,2753.48630943
592,2704.17734756
593,2675.91943738
594,2633.06448042
595,2593.39955091
596,2534.37299966
597,2479.6935289
598,2649.33877192
599,2652.41702133
600,2592.9579616
601,2566.10012409
602,2509.33178211
603,2459.63226558
604,2424.88074426
605,2431.26993843
606,2376.11353934
607,2322.28132935
608,2282.38018118
609,2336.03816348
610,2309.39473912
611,2258.8431196
612,2237.81886776
613,2368.33595138
614,2330.72179237
615,2297.78113972
616,2264.31751363
617,2331.02856894
618,2280.84981144
619,2231.20701528
620,2205.0383655
621,2258.9483389
622,2222.3931598
623,2196.03492709
624,2163.69722486
625,2118.24182081
626,2095.45467134
627,2063.8086367
628,2089.18668703
629,2423.60037582
630,2372.893763
631,2441.36298992
632,2402.45096124
633,2420.88587093
634,2734.62077531
635,2713.68628061
636,2848.48675385
637,2942.2495771
638,2965.98110052
639,2937.64288118
640,2882.10157185
641,3041.07665298
642,2986.04376095
643,3188.40094438
644,4007.28111339
645,4392.35287936
646,4400.49305682
647,4529.50650902
648,4709.61063945
649,4887.36694087
650,4823.53106166
651,4779.45076161
652,4718.14376456
653,4659.73844506
654,4617.81545112
655,4588.77910143
656,4554.40973052
657,4494.00615327
658,4450.13479673
659,4390.40980911
660,4422.45888674
661,4437.69918132
662,4418.23086336
663,4393.22733141
664,4364.13475334
665,4404.43844416
666,4724.94845219
667,4756.53801983
668,4693.46796263
669,4630.16968388
670,4568.41984424
671,4507.45472246
672,4447.48299888
673,4478.05023353
674,4793.44161055
675,4729.01001853
676,4907.12714272
677,4875.68395154
678,4815.40681361
679,4761.76220887
680,4697.10852528
681,4648.70965802
682,4593.75459664
683,4539.78029788
684,4494.48419901
685,4467.21179687
686,4407.77288677
687,4360.86927692
688,4362.66949654
689,4419.77022203
690,4360.73167124
691,4351.73400173
692,4320.22905919
693,4262.70309579
694,4212.60535373
695,4160.01455716
696,4109.3997239
697,4091.13841634
698,4043.32909873
699,4010.1592366
700,3960.25132881
701,3915.64904701
702,3867.70039963
703,3888.40865324
704,3908.06934845
705,3855.07410549
706,3823.07168964
707,3773.71076373
708,3748.39978307
709,3730.05884478
710,3683.68851971
711,3657.07803953
712,3619.7309153
713,3605.58995212
714,3568.99569209
715,3539.02384558
716,3491.07575976
717,3447.14199396
718,3487.25276336
719,3440.91260291
720,3404.20806792
721,3455.39875863
722,3423.37304067
723,3380.26948997
724,3343.76811147
725,3300.70002559
726,3264.92723322
727,3248.39069395
728,3216.98702026
729,3228.74405634
730,3203.00875094
731,3211.74437751
732,3169.77334963
733,3152.3562902
734,3161.10846024
735,3125.42270686
736,3091.14711299
737,3140.58949701
738,3143.29533238
739,3103.08138742
740,3142.66067395
741,3180.20495634
742,3140.05750564
743,3362.1869118
744,3327.94516689
745,3308.16814492
746,3303.74257001
747,3261.66830198
748,3221.4682024
749,3255.91428532
750,3346.98680964
751,3490.80681333
752,3507.64341277
753,3523.35236679
754,3479.18345949
755,3447.71772726
756,3408.32075247
757,3366.71578025
758,3352.36922917
759,3335.13465034
760,3322.66626754
761,3282.07849855
762,3267.49172189
763,3230.67484792
764,3191.98682455
765,3155.62092105
766,3165.75393896
767,3222.20702621
768,3185.66057902
769,3221.202177
770,3189.56750466
771,3152.10864628
772,3114.68724793
773,3090.79505502
774,3054.64498288
775,3018.93988448
776,3008.1553716
777,2980.3914327
778,3119.97443505
779,3127.04159012
780,3092.13105432
781,3067.84909143
782,3033.64229107
783,2999.39587652
784,2986.26173123
785,2958.04753903
786,2931.5284699
787,2898.0687023
788,2866.75457834
789,2834.42493216
790,2810.55525522
791,2779.38984343
792,2759.78359964
793,2839.70497991
794,2808.23120074
795,2778.75609007
796,2756.39733393
797,2725.61630476
798,2696.74651524
799,2667.28930476
800,2647.07281927
801,2654.13272018
802,2631.1547566
803,2685.5115519
804,2671.50302375
805,2714.75888521
806,2686.95486376
807,2657.39310821
808,2687.98759819
809,2658.51496497
810,2682.9488334
811,2685.59735553
812,2656.86019738
813,2628.9537167
814,2712.99869196
815,2697.47770907
816,2674.52953983
817,2934.93870479
818,2912.24780181
819,2990.80395389
820,2999.1455899
821,2992.09848239
822,2963.37664247
823,2964.7148597
824,2966.62242276
825,2937.49262277
826,2948.9855306
827,2927.50975256
828,2898.98643878
829,2873.58988946
830,2853.60231735
831,2825.02160282
832,2798.14937248
833,2774.61192876
834,2766.1899119
835,2772.70170336
836,2750.94018311
837,2724.49791476
838,2807.13617747
839,2806.93273751
840,2912.28952907
841,2912.43375494
842,2941.92583368
843,2912.9927472
844,3016.35294492
845,2998.25076511
846,3079.78859071
847,3135.79353328
848,3275.92684059
849,3531.28020274
850,3567.79058186
851,3577.33193944
852,3602.00217442
853,3705.97962351
854,3887.11677162
855,3862.93938001
856,3957.39606611
857,3973.05810253
858,3931.33861547
859,3889.98811874
860,3880.75551838
861,3850.75186718
862,3932.98235583
863,3893.23692395
864,3864.54707212
865,3825.09961044
866,3788.17357542
867,3748.57941603
868,
