"","x"
"1",149.543
"2",154.219
"3",146.675
"4",216.623
"5",160.714
"6",156.117
"7",199.083
"8",161.092
"9",105.919
"10",80.667
"11",86.295
"12",49.425
"13",37.556
"14",46.22
"15",104.793
"16",141.988
"17",157.805
"18",169.817
"19",221.907
"20",198.133
"21",175.591
"22",223.18
"23",230.887
"24",151.323
"25",147.412
"26",157.435
"27",86.074
"28",62.909
"29",57.367
"30",88.221
"31",267.254
"32",247.171
"33",285.049
"34",301.707
"35",290.935
"36",255.079
"37",264.349
"38",240.388
"39",211.142
"40",259.471
"41",239.302
"42",97.611
"43",59.226
"44",71.523
"45",74.804
"46",168.976
"47",201.767
"48",233.884
"49",237.563
"50",244.285
"51",225.247
"52",188.025
"53",189.242
"54",148.414
"55",158.519
"56",136.932
"57",58.45
"58",62.027
"59",64.854
"60",116.06
"61",122.065
"62",141.948
"63",135.998
"64",144.387
"65",137.897
"66",119.674
"67",100.603
"68",97.106
"69",68.761
"70",54.565
"71",56.849
"72",24.825
"73",26.366
"74",23.963
"75",57.896
"76",51.814
"77",55.072
"78",47.893
"79",46.398
"80",44.668
"81",39.554
"82",35.063
"83",33.734
"84",26.691
"85",18.047
"86",19.903
"87",10.636
"88",11.289
"89",8.654
"90",67.125
"91",81.583
"92",70.307
"93",64.331
"94",73.973
"95",84.069
"96",74.384
"97",60.241
"98",74.331
"99",65.12
"100",57.974
"101",57.152
"102",40.079
"103",31.796
"104",37.381
"105",127.147
"106",152.927
"107",125.43
"108",144.177
"109",148.837
"110",146.278
"111",127.992
"112",116.766
"113",137.561
"114",142.112
"115",182.821
"116",185.055
"117",75.726
"118",51.507
"119",62.7
"120",142.996
"121",174.099
"122",159.035
"123",182.392
"124",170.526
"125",168.607
"126",174.885
"127",170.742
"128",193.993
"129",196.787
"130",219.421
"131",268.204
"132",155.191
"133",104.655
"134",90.472
"135",110.053
"136",148.776
"137",166.184
"138",247.618
"139",248.659
"140",221.006
"141",203.472
"142",188.918
"143",207.29
"144",170.943
"145",176.836
"146",166.57
"147",97.812
"148",70.488
"149",87.515
"150",78.052
"151",129.317
"152",162.422
"153",212.357
"154",220.209
"155",230.932
"156",198.417
"157",217.9
"158",179.69
"159",136.075
"160",139.353
"161",107.143
"162",73.422
"163",80.754
"164",72.928
"165",141.131
"166",173.629
"167",147.699
"168",181.185
"169",153.86
"170",174.287
"171",147.019
"172",133.081
"173",139.744
"174",104.866
"175",110.494
"176",78.231
"177",47.655
"178",49.67
"179",51.069
"180",144.295
"181",165.713
"182",136.884
"183",133.39
"184",140.361
"185",140.132
"186",118.535
"187",107.392
"188",145.903
"189",145.698
"190",198.054
"191",225.913
"192",66.883
"193",36.532
"194",44.205
"195",149.93
"196",159.681
"197",143.132
"198",124.909
"199",133.722
"200",127.514
"201",123.812
"202",102.165
"203",125.535
"204",117.643
"205",127.917
"206",152.984
"207",66.498
"208",37.891
"209",56.071
"210",166.804
"211",158.448
"212",142.575
"213",135.406
"214",145.313
"215",137.756
"216",121.548
"217",114.22
"218",169.539
"219",122.778
"220",127.372
"221",114.402
"222",66.76
"223",51.212
"224",71.059
"225",155.541
"226",188.514
"227",154.093
"228",160.268
"229",163.526
"230",160.964
"231",169.065
"232",192.85
"233",184.745
"234",196.171
"235",232.319
"236",205.253
"237",136.093
"238",113.17
"239",111.708
"240",99.052
"241",159.697
"242",176.068
"243",238.868
"244",219.783
"245",284.489
"246",221.914
"247",216.839
"248",206.76
"249",221.708
"250",227.342
"251",200.528
"252",98.336
"253",66.348
"254",87.329
"255",66.236
"256",112.562
"257",151.696
"258",195.99
"259",216.431
"260",205.167
"261",191.834
"262",166.276
"263",175.507
"264",162.62
"265",134.745
"266",125.246
"267",71.115
"268",57.526
"269",60.618
"270",98.533
"271",124.432
"272",143.755
"273",156.343
"274",188.722
"275",148.723
"276",160.917
"277",143.556
"278",153.854
"279",116.682
"280",107.498
"281",106.454
"282",54.831
"283",48.981
"284",46.82
"285",128.817
"286",135.628
"287",137.295
"288",150.606
"289",128.09
"290",118.336
"291",122.174
"292",103.835
"293",133.46
"294",119.659
"295",179.612
"296",159.062
